# Poly-100, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for Scriven-Poly-100
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
2.00000000e-05    5.14927862e-05    5.17277645e-05    5.21629035e-05    1.2847    0.8342    4372    3.36246122e-08
4.00000000e-05    5.31295343e-05    5.33216993e-05    5.42396259e-05    2.0466    1.6924    4463    3.57287504e-08
6.00000000e-05    5.47443605e-05    5.49694547e-05    5.62397148e-05    2.6589    2.2587    4928    3.79710601e-08
8.00000000e-05    5.62963862e-05    5.65405937e-05    5.81710755e-05    3.2227    2.8029    5096    4.01726603e-08
1.00000000e-04    5.78192456e-05    5.80619843e-05    6.00403409e-05    3.6993    3.2950    5471    4.23636735e-08
1.20000000e-04    5.93024278e-05    5.95748093e-05    6.18531409e-05    4.1238    3.6835    5744    4.46000336e-08
1.40000000e-04    6.07565273e-05    6.10308810e-05    6.36143030e-05    4.4923    4.0611    6040    4.68068206e-08
1.60000000e-04    6.21790864e-05    6.24645277e-05    6.53280036e-05    4.8202    4.3832    6257    4.90316812e-08
1.80000000e-04    6.35736269e-05    6.38634327e-05    6.69978847e-05    5.1110    4.6784    6559    5.12524205e-08
2.00000000e-04    6.49510668e-05    6.52578575e-05    6.86271453e-05    5.3566    4.9096    6798    5.35149947e-08
2.20000000e-04    6.63004986e-05    6.66180754e-05    7.02186127e-05    5.5799    5.1276    7236    5.57691503e-08
2.40000000e-04    6.76300236e-05    6.79647406e-05    7.17748012e-05    5.7747    5.3084    7403    5.80466541e-08
2.60000000e-04    6.89464506e-05    6.92936315e-05    7.32979576e-05    5.9367    5.4631    7767    6.03387778e-08
2.80000000e-04    7.02382376e-05    7.05976641e-05    7.47901002e-05    6.0862    5.6056    8086    6.26311704e-08
3.00000000e-04    7.15165539e-05    7.18885180e-05    7.62530498e-05    6.2115    5.7237    8401    6.49424884e-08
3.20000000e-04    7.27801670e-05    7.31587166e-05    7.76884554e-05    6.3179    5.8306    8603    6.72577014e-08
3.40000000e-04    7.40284177e-05    7.44138568e-05    7.90978167e-05    6.4090    5.9217    9014    6.95852982e-08
