# Poly-125, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for old_run
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
2.00000000e-05    5.15807431e-05    5.18137335e-05    5.21629035e-05    1.1160    0.6694    6881    3.37364700e-08
4.00000000e-05    5.33097783e-05    5.34969796e-05    5.42396259e-05    1.7143    1.3692    7241    3.59640332e-08
6.00000000e-05    5.49775657e-05    5.52100257e-05    5.62397148e-05    2.2442    1.8309    7652    3.83041440e-08
8.00000000e-05    5.65991441e-05    5.68429025e-05    5.81710755e-05    2.7023    2.2832    8153    4.06033957e-08
1.00000000e-04    5.81865755e-05    5.84454443e-05    6.00403409e-05    3.0875    2.6564    8598    4.29250879e-08
1.20000000e-04    5.97342881e-05    6.00080301e-05    6.18531409e-05    3.4256    2.9831    9038    4.52510442e-08
1.40000000e-04    6.12442439e-05    6.15324162e-05    6.36143030e-05    3.7257    3.2727    9520    4.75792731e-08
1.60000000e-04    6.27309124e-05    6.30321364e-05    6.53280036e-05    3.9755    3.5144   10045    4.99268215e-08
1.80000000e-04    6.41873404e-05    6.45031533e-05    6.69978847e-05    4.1950    3.7236   10482    5.22843552e-08
2.00000000e-04    6.56146567e-05    6.59549361e-05    6.86271453e-05    4.3896    3.8938   10981    5.46643857e-08
2.20000000e-04    6.70210519e-05    6.73771614e-05    7.02186127e-05    4.5537    4.0466   11472    5.70473250e-08
2.40000000e-04    6.84063892e-05    6.87800062e-05    7.17748012e-05    4.6930    4.1725   11940    5.94475945e-08
2.60000000e-04    6.97678223e-05    7.01602169e-05    7.32979576e-05    4.8161    4.2808   12475    6.18574068e-08
2.80000000e-04    7.11151724e-05    7.15297919e-05    7.47901002e-05    4.9137    4.3593   12818    6.42959751e-08
3.00000000e-04    7.24344179e-05    7.28694893e-05    7.62530498e-05    5.0078    4.4373   13400    6.67269564e-08
3.20000000e-04    7.37470177e-05    7.42057302e-05    7.76884554e-05    5.0734    4.4829   13919    6.91965992e-08
3.40000000e-04    7.50350424e-05    7.55169603e-05    7.90978167e-05    5.1364    4.5271   14472    7.16636403e-08
3.60000000e-04    7.63141128e-05    7.68193602e-05    8.04825020e-05    5.1792    4.5515   14760    7.41568434e-08
3.80000000e-04    7.75709972e-05    7.80934654e-05    8.18437635e-05    5.2206    4.5823   15299    7.66371339e-08
4.00000000e-04    7.88205084e-05    7.93712364e-05    8.31827514e-05    5.2442    4.5821   15903    7.91655358e-08
4.20000000e-04    8.00521449e-05    8.06288956e-05    8.45005245e-05    5.2643    4.5818   16341    8.16942117e-08
4.40000000e-04    8.12758932e-05    8.18984146e-05    8.57980603e-05    5.2707    4.5451   16929    8.42870500e-08
4.60000000e-04    8.24806113e-05    8.31372641e-05    8.70762634e-05    5.2777    4.5236   17533    8.68562992e-08
4.80000000e-04    8.36800412e-05    8.43626724e-05    8.83359732e-05    5.2707    4.4979   17977    8.94356199e-08
5.00000000e-04    8.48590947e-05    8.55869796e-05    8.95779698e-05    5.2679    4.4553   18542    9.20503119e-08
5.20000000e-04    8.60349648e-05    8.67945828e-05    9.08029800e-05    5.2509    4.4144   18924    9.46662347e-08
5.40000000e-04    8.71921503e-05    8.80031966e-05    9.20116823e-05    5.2380    4.3565   19596    9.73210440e-08
5.60000000e-04    8.83428360e-05    8.91951454e-05    9.32047112e-05    5.2163    4.3019   19950    9.99752042e-08
5.80000000e-04    8.94811622e-05    9.03736527e-05    9.43826610e-05    5.1932    4.2476   20701    1.02634539e-07
6.00000000e-04    9.06095061e-05    9.15569666e-05    9.55460894e-05    5.1667    4.1751   21121    1.05339840e-07
6.20000000e-04    9.17316990e-05    9.27336920e-05    9.66955206e-05    5.1335    4.0972   21653    1.08064977e-07
6.40000000e-04    9.28397147e-05    9.38910004e-05    9.78314480e-05    5.1024    4.0278   22208    1.10779091e-07
6.60000000e-04    9.39377703e-05    9.50458985e-05    9.89543365e-05    5.0696    3.9497   22714    1.13521109e-07
6.80000000e-04    9.50306681e-05    9.61877489e-05    1.00064625e-04    5.0307    3.8744   23241    1.16265104e-07
7.00000000e-04    9.61137597e-05    9.73341387e-05    1.01162729e-04    4.9909    3.7846   23915    1.19052973e-07
7.20000000e-04    9.71849599e-05    9.84954063e-05    1.02249040e-04    4.9527    3.6711   24418    1.21910698e-07
7.40000000e-04    9.82512653e-05    9.96065760e-05    1.03323931e-04    4.9095    3.5978   24816    1.24676869e-07
7.60000000e-04    9.93061749e-05    1.00743033e-04    1.04387754e-04    4.8680    3.4915   25511    1.27538090e-07
7.80000000e-04    1.00354678e-04    1.01861105e-04    1.05440845e-04    4.8237    3.3950   26067    1.30384699e-07
8.00000000e-04    1.01398467e-04    1.02994469e-04    1.06483521e-04    4.7754    3.2766   26767    1.33302309e-07
8.20000000e-04    1.02429273e-04    1.04116188e-04    1.07516086e-04    4.7312    3.1622   27483    1.36221727e-07
8.40000000e-04    1.03456164e-04    1.05244206e-04    1.08538828e-04    4.6828    3.0354   27955    1.39189430e-07
