# Time [s]       Position [m]
  0.0000000E+00  4.9998986E-04
  9.0000000E-02  5.3220581E-04
  1.8000000E-01  5.6257993E-04
  2.7000000E-01  5.9139610E-04
  3.6000000E-01  6.1887196E-04
  4.5000000E-01  6.4517878E-04
  5.4000000E-01  6.7045419E-04
  6.3000000E-01  6.9481075E-04
  7.2000000E-01  7.1834194E-04
  8.1000000E-01  7.4112637E-04
  9.0000000E-01  7.6323093E-04
  9.9000000E-01  7.8471308E-04
  1.0800000E+00  8.0562260E-04
  1.1700000E+00  8.2600299E-04
  1.2600000E+00  8.4589248E-04
  1.3500000E+00  8.6532494E-04
  1.4400000E+00  8.8433049E-04
  1.5300000E+00  9.0293609E-04
  1.6200000E+00  9.2116596E-04
  1.7100000E+00  9.3904201E-04
  1.8000000E+00  9.5658405E-04
  1.8900000E+00  9.7381015E-04
  1.9800000E+00  9.9073678E-04
  2.0700000E+00  1.0073790E-03
  2.1600000E+00  1.0237508E-03
  2.2500000E+00  1.0398648E-03
  2.3400000E+00  1.0557329E-03
  2.4300000E+00  1.0713660E-03
  2.5200000E+00  1.0867743E-03
  2.6100000E+00  1.1019671E-03
  2.7000000E+00  1.1169533E-03
  2.7900000E+00  1.1317411E-03
  2.8800000E+00  1.1463381E-03
  2.9700000E+00  1.1607515E-03
  3.0600000E+00  1.1749882E-03
  3.1500000E+00  1.1890544E-03
  3.2400000E+00  1.2029562E-03
  3.3300000E+00  1.2166991E-03
  3.4200000E+00  1.2302886E-03
  3.5100000E+00  1.2437295E-03
  3.6000000E+00  1.2570267E-03
  3.6900000E+00  1.2701848E-03
  3.7800000E+00  1.2832079E-03
  3.8700000E+00  1.2961002E-03
  3.9600000E+00  1.3088655E-03
  4.0500000E+00  1.3215075E-03
  4.1400000E+00  1.3340297E-03
  4.2300000E+00  1.3464354E-03
  4.3200000E+00  1.3587279E-03
  4.4100000E+00  1.3709102E-03
  4.5000000E+00  1.3829851E-03
  4.5900000E+00  1.3949556E-03
  4.6800000E+00  1.4068241E-03
  4.7700000E+00  1.4185934E-03
  4.8600000E+00  1.4302659E-03
  4.9500000E+00  1.4418438E-03
  5.0400000E+00  1.4533296E-03
  5.1300000E+00  1.4647252E-03
  5.2200000E+00  1.4760329E-03
  5.3100000E+00  1.4872546E-03
  5.4000000E+00  1.4983923E-03
  5.4900000E+00  1.5094478E-03
  5.5800000E+00  1.5204229E-03
  5.6700000E+00  1.5313193E-03
  5.7600000E+00  1.5421388E-03
  5.8500000E+00  1.5528829E-03
  5.9400000E+00  1.5635531E-03
  6.0300000E+00  1.5741511E-03
  6.1200000E+00  1.5846781E-03
  6.2100000E+00  1.5951357E-03
  6.3000000E+00  1.6055252E-03
  6.3900000E+00  1.6158478E-03
  6.4800000E+00  1.6261050E-03
  6.5700000E+00  1.6362978E-03
  6.6600000E+00  1.6464275E-03
  6.7500000E+00  1.6564953E-03
  6.8400000E+00  1.6665023E-03
  6.9300000E+00  1.6764496E-03
  7.0200000E+00  1.6863381E-03
  7.1100000E+00  1.6961691E-03
  7.2000000E+00  1.7059433E-03
  7.2900000E+00  1.7156619E-03
  7.3800000E+00  1.7253257E-03
  7.4700000E+00  1.7349358E-03
  7.5600000E+00  1.7444928E-03
  7.6500000E+00  1.7539978E-03
  7.7400000E+00  1.7634516E-03
  7.8300000E+00  1.7728550E-03
  7.9200000E+00  1.7822087E-03
  8.0100000E+00  1.7915136E-03
  8.1000000E+00  1.8007704E-03
  8.1900000E+00  1.8099799E-03
  8.2800000E+00  1.8191428E-03
  8.3700000E+00  1.8282597E-03
  8.4600000E+00  1.8373314E-03
  8.5500000E+00  1.8463586E-03
  8.6400000E+00  1.8553418E-03
  8.7300000E+00  1.8642817E-03
  8.8200000E+00  1.8731790E-03
  8.9100000E+00  1.8820342E-03
  9.0000000E+00  1.8908479E-03
